,Reviewer Name,Restaurant Name,Rating,Tags
0,Alex J.,hollywood & dine,2.0,"Specialty Food, Vegan"
1,Alex J.,corner bakery,2.0,"Sandwiches, Salad, Breakfast & Brunch"
2,Alex J.,bodhi leaf coffee traders,5.0,"Coffee & Tea, Coffee Roasteries, Cafes"
3,Alex J.,waffle love,2.0,"Waffles, Breakfast & Brunch, Chicken Shop"
4,Alex J.,kazuyo sushi by chef joe,3.0,"Food Trucks, Sushi Bars, Caterers"
5,Alex J.,belwood bakery cafe,5.0,"Coffee & Tea, Bakeries, Sandwiches"
6,Alex J.,somisomi,5.0,"Ice Cream & Frozen Yogurt, Desserts, Korean"
7,Alex J.,bagel boyz,1.0,"Bagels, Coffee & Tea, Breakfast & Brunch"
8,Alex J.,hovik's famous meat & deli,4.0,"Delis, Meat Shops, Grocery"
9,Alex J.,silverlake ramen,5.0,"Ramen, Noodles"
10,Alex J.,tsujita la artisan noodle,3.0,"Ramen, Noodles"
11,Alex J.,millet crepe,1.0,Creperies
12,Alex J.,calif. chicken cafe,5.0,"American (Traditional), Salad, Wraps"
13,Alex J.,mama por dios,4.0,"Mexican, Breakfast & Brunch"
14,Alex J.,original tony's italian deli,2.0,"Delis, Sandwiches, Italian"
15,Alex J.,humble bird,5.0,"Southern, Chicken Shop"
16,Alex J.,urbane cafe,5.0,"Sandwiches, American (New), Salad"
17,Alex J.,cappuccino cart,5.0,Food Stands
18,Alex J.,jalapeño pete's,1.0,"Sports Bars, Gastropubs, Tacos"
19,Alex J.,lodge bread,1.0,"Bakeries, Sandwiches"
20,Alex J.,the smokey cow,5.0,"Pop-Up Restaurants, Barbeque, Sandwiches"
21,Alex J.,havana savannah,5.0,"Cafes, Coffee & Tea"
22,Alex J.,jersey mike's subs,5.0,"Fast Food, Delis, Sandwiches"
23,Alex J.,taco bell,4.0,"Fast Food, Mexican"
24,Alex J.,taco bell,1.0,"Fast Food, Mexican"
25,Alex J.,l'antica pizzeria da michele,5.0,"Pizza, Italian"
26,Alex J.,bay cities italian deli,5.0,"Delis, Sandwiches, Italian"
27,Alex J.,q & q hawaiian bbq,2.0,"Barbeque, Hawaiian"
28,Alex J.,slaters 50/50,1.0,"Burgers, American (Traditional), Beer Bar"
29,Alex J.,nijiya market,3.0,"Japanese, International Grocery, Seafood Markets"
30,Alex J.,slapfish,3.0,"Seafood, Sandwiches, Fish & Chips"
31,Alex J.,silverlake ramen,5.0,Ramen
32,Alex J.,cozy cone motel,4.0,Fast Food
33,Alex J.,porto's bakery & cafe,5.0,"Bakeries, Cafes, Custom Cakes"
34,Alex J.,katsuya,5.0,Japanese
35,Alex J.,boudin bakery & cafe,5.0,"Bakeries, Salad, Sandwiches"
36,Alex J.,in-n-out burger,4.0,"Fast Food, Burgers"
37,Alex J.,surisan,5.0,"Korean, American (New), Breakfast & Brunch"
38,Alex J.,smokejumpers grill,2.0,"American (Traditional), Amusement Parks, Burgers"
39,Alex J.,galactic grill,2.0,American (Traditional)
40,Alex J.,birdies,5.0,"Donuts, Breakfast & Brunch, Sandwiches"
41,Alex J.,the cheesecake factory,1.0,"Desserts, American (Traditional)"
42,Alex J.,mochinut,3.0,"Donuts, Hot Dogs, Desserts"
43,Alex J.,mr. moto pizza,1.0,Pizza
44,Alex J.,caffe italia,1.0,"Coffee & Tea, Italian, Gelato"
45,Alex J.,eataly los angeles,3.0,"Specialty Food, Italian, Food Court"
46,Alex J.,tatsu ramen,4.0,Ramen
47,Alex J.,two hands seoul fresh corn dogs,4.0,Hot Dogs
48,Alex J.,gol tong chicken,5.0,"Chicken Wings, Korean"
49,Alex J.,usa donuts & crossaints,4.0,"Donuts, Coffee & Tea, Sandwiches"
50,Alex J.,plaza inn,2.0,"American (Traditional), Buffets"
51,Alex J.,forn al hara,5.0,"Middle Eastern, Pizza, Desserts"
52,Alex J.,rancho del zocalo restaurante,1.0,Mexican
53,Alex J.,anaheim packing house,4.0,Food Court
54,Alex J.,the kroft,4.0,"Comfort Food, Sandwiches, Poutineries"
55,Alex J.,blusky restaurant & bar,4.0,"Cocktail Bars, Spanish, Basque"
56,Alex J.,pym test kitchen,4.0,"Coffee & Tea, Breakfast & Brunch, American (Traditional)"
57,Alex J.,jaws tpk,4.0,Korean
58,Alex J.,zait and zaatar,1.0,"Mediterranean, Lebanese, Halal"
59,Alex J.,myungrang hot dog,4.0,Hot Dogs
60,Alex J.,cielito lindo,5.0,Mexican
61,Alex J.,mr churro,5.0,"Bakeries, Mexican"
62,Alex J.,the woodman,1.0,"Pubs, Gastropubs, Sports Bars"
